onL,offL,onR,offR
325.639,325.8945,325.3055,325.5655
326.306,326.5635,325.972,326.233
326.97,327.23,326.6365,326.898
327.6415,327.898,327.305,327.568
328.314,328.571,327.9775,328.2385
328.9745,329.2325,328.6415,328.905
329.643,329.899,329.3125,329.572
330.309,330.567,329.98,330.238
330.9795,331.2325,330.647,330.9075
331.643,331.8985,331.311,331.57
332.306,332.5655,331.9765,332.2385
332.9765,333.2335,332.6395,332.902
333.6405,333.8975,333.308,333.5675
334.3055,334.5635,333.973,334.2325
334.966,NaN,334.6365,334.896
