onL,offL,onR,offR
385.9055,386.14,385.578,385.8195
386.5475,386.7815,386.2245,386.4655
387.1845,387.4175,386.8625,387.101
387.823,388.0565,387.499,387.7375
388.4605,388.688,388.1385,388.376
389.092,389.326,388.7705,389.0065
389.727,389.961,389.4065,389.647
390.366,390.599,390.0445,390.2845
391.0035,391.2365,390.681,390.922
391.642,391.873,391.32,391.5545
392.2855,392.517,391.96,392.1975
392.9175,393.1515,392.593,392.835
393.5555,393.7895,393.2335,393.475
394.2005,394.4325,393.8725,394.1125
394.84,NaN,394.515,394.7535
