onL,offL,onR,offR
145.671,145.9495,145.323,145.604
146.3585,146.634,146.014,146.2945
147.044,147.318,146.7015,146.977
147.7275,148.0005,147.3835,147.661
148.4155,148.6895,148.067,148.3465
149.098,149.369,148.7545,149.0285
149.7805,150.057,149.4345,149.7135
150.4695,150.7445,150.128,150.403
151.1565,151.4305,150.812,151.0875
151.8355,152.11,151.4975,151.7705
152.5185,152.794,152.178,152.4555
153.2015,153.48,152.8615,153.1365
153.8905,154.1645,153.546,153.823
154.572,154.846,154.2315,154.506
NaN,NaN,154.914,NaN
