onL,offL,onR,offR
270.3575,270.61,270.0225,270.281
271.019,271.272,270.6855,270.9415
271.677,271.9325,271.3445,271.6055
272.3385,272.5955,272.0075,272.2655
273.0005,273.2565,272.6695,272.929
273.6655,273.9195,273.331,273.59
274.327,274.5805,273.993,274.2505
274.9875,275.244,274.6555,274.9155
275.649,275.906,275.3175,275.576
276.3105,276.5675,275.9785,276.2385
276.9805,277.2375,276.6415,276.9035
277.6455,277.904,277.3125,277.573
278.314,278.5695,277.976,278.239
278.979,279.2375,278.6445,278.9055
279.6485,279.9025,279.313,279.5745
NaN,NaN,279.98,NaN
