onL,offL,onR,offR
451.894,452.1315,451.566,451.8095
452.54,452.779,452.214,452.4555
453.1845,453.4235,452.8585,453.1025
453.8315,454.067,453.503,453.7455
454.473,454.7085,454.1435,454.3875
455.1125,455.3475,454.7875,455.028
455.747,455.982,455.4245,455.6665
456.379,456.6145,456.0605,456.297
457.021,457.257,456.6975,456.938
457.6595,457.897,457.3365,457.577
458.303,458.54,457.978,458.2185
458.9455,459.1795,458.6205,458.8615
459.5815,459.8165,459.2595,459.499
460.2185,460.453,459.897,460.135
460.8555,461.091,460.531,460.7745
NaN,NaN,461.1725,NaN
