onL,offL,onR,offR
205.4735,205.7295,205.1425,205.4005
206.1395,206.3925,205.8055,206.062
206.805,207.058,206.4705,206.7285
207.4695,207.7225,207.1365,207.391
208.1345,208.3895,207.798,208.0575
208.8035,209.054,208.465,208.7245
209.4645,209.716,209.1315,209.3885
210.1265,210.378,209.7925,210.049
210.7835,211.0375,210.4545,210.7095
211.444,211.696,211.113,211.3685
212.1045,212.3615,211.773,212.0315
212.7725,213.021,212.4355,212.6965
213.433,213.6855,213.1015,213.358
214.095,214.346,213.7615,214.019
214.7535,NaN,214.421,214.679
