onL,offL,onR,offR
423.6685,423.9065,423.347,423.588
424.309,424.546,423.9875,424.2275
424.953,425.191,424.628,424.8695
425.5945,425.829,425.272,425.5135
426.2325,426.4685,425.912,426.1515
426.872,427.1065,426.547,426.7895
427.5135,427.755,427.188,427.4305
428.167,428.4035,427.8385,428.0825
428.808,429.0475,428.4845,428.7255
429.4505,429.687,429.128,429.371
430.0945,430.331,429.7685,430.0125
430.74,430.9775,430.4125,430.6535
431.3825,431.6185,431.0595,431.298
432.022,432.258,431.7025,431.941
432.6605,432.8955,432.337,432.5765
NaN,NaN,432.976,NaN
