onL,offL,onR,offR
10.666,10.9885,10.3165,10.6255
11.3875,11.701,11.035,11.3415
12.105,12.425,11.75,12.0595
12.8245,13.149,12.476,12.7875
13.5545,13.8765,13.1975,13.5115
14.285,14.604,13.9265,14.243
14.995,15.3105,14.654,14.9585
15.7075,16.0295,15.3655,15.666
16.427,16.743,16.0745,16.382
17.145,17.4655,16.795,17.1045
17.868,18.1855,17.5165,17.825
18.5785,18.8945,18.2305,18.5385
19.291,19.6115,18.9455,19.2455
NaN,NaN,19.657,19.9655
