onL,offL,onR,offR
20.0075,20.3295,19.657,19.9655
20.73,21.0535,20.3755,20.6925
21.452,21.772,21.102,21.4145
22.1755,22.4985,21.821,22.1405
22.9035,23.226,22.551,22.8595
23.6255,23.946,23.271,23.584
24.349,24.6705,23.9975,24.3065
25.0705,25.39,24.7185,25.0275
25.7905,26.1115,25.437,25.7505
26.515,26.836,26.162,26.47
27.2315,27.5555,26.881,27.1885
27.953,28.2765,27.6025,27.9155
28.6755,28.9995,28.326,28.637
29.408,NaN,29.0515,29.365
