onL,offL,onR,offR
385.839,386.091,385.4945,385.74
386.522,386.773,386.1805,386.427
387.2015,387.4565,386.857,387.104
387.8845,388.1395,387.541,387.79
388.565,388.819,388.218,388.466
389.247,389.4995,388.904,389.1525
389.926,390.1815,389.5815,389.83
390.6025,390.854,390.262,390.5085
391.2875,391.539,390.9425,391.1915
391.967,392.2195,391.6245,391.874
392.648,392.902,392.303,392.5525
393.327,393.5805,392.984,393.231
394.0085,394.264,393.6645,393.9135
394.696,394.951,394.35,394.6015
NaN,NaN,395.036,395.287
