onL,offL,onR,offR
517.8105,518.0725,517.4655,517.72
518.4965,518.753,518.1545,518.406
519.185,519.4465,518.8385,519.0905
519.8745,520.1335,519.5265,519.7805
520.561,520.817,520.2165,520.4675
521.2465,521.5045,520.8975,521.1485
521.934,522.1935,521.59,521.8425
522.621,522.8795,522.2755,522.5285
523.3045,523.563,522.96,523.2125
523.9955,524.254,523.6465,523.8965
524.6915,524.951,524.3365,524.5935
525.38,525.6355,525.036,525.287
526.0665,526.325,525.7245,525.978
526.753,527.009,526.405,526.66
NaN,NaN,527.0915,NaN
