onL,offL,onR,offR
199.2555,199.5245,198.899,199.1655
199.9535,200.227,199.601,199.862
200.6485,200.9175,200.299,200.559
201.3455,201.615,200.9965,201.2585
202.042,202.309,201.6905,201.9555
202.7365,203.006,202.387,202.6475
203.4375,203.706,203.0855,203.3475
204.139,204.4105,203.7885,204.049
204.8425,205.112,204.489,204.755
205.541,205.8105,205.1895,205.45
206.235,206.5025,205.8835,206.1475
206.9335,207.203,206.5865,206.8495
207.627,207.897,207.276,207.538
208.3295,208.6005,207.9785,208.2405
NaN,NaN,208.6775,NaN
