onL,offL,onR,offR
456.891,457.1465,456.5445,456.798
457.5725,457.8275,457.2305,457.483
458.2625,458.5175,457.917,458.166
458.943,459.1955,458.6025,458.854
459.628,459.882,459.2835,459.5345
460.3055,460.562,459.9635,460.212
460.994,461.248,460.6445,460.8965
461.68,461.93,461.3295,461.5805
462.359,462.614,462.013,462.2655
463.039,463.2945,462.6955,462.9465
463.724,463.9795,463.3735,463.626
464.4025,464.6605,464.0595,464.3145
465.0875,465.345,464.7405,464.993
465.7725,466.0275,465.4215,465.675
NaN,NaN,466.1075,NaN
