onL,offL,onR,offR
517.4405,517.7,517.1,517.36
518.1215,518.3845,517.777,518.0395
518.8085,519.0715,518.4615,518.73
519.498,519.755,519.1565,519.4125
520.177,520.4415,519.8355,520.0995
520.8615,521.119,520.521,520.785
521.543,521.803,521.202,521.4625
522.2245,522.4825,521.8805,522.1425
522.8935,523.1485,522.559,522.816
523.566,523.821,523.226,523.484
524.2315,524.4945,523.8955,524.159
524.924,525.1895,524.575,524.84
525.616,525.8765,525.266,525.5255
526.301,526.5605,525.953,526.2145
NaN,NaN,526.6395,526.9045
