onL,offL,onR,offR
383.633,383.891,383.289,383.5505
384.317,384.581,383.968,384.2365
385.0185,385.291,384.6615,384.932
385.7355,386.0035,385.3725,385.645
386.4465,386.7205,386.0855,386.3605
387.161,387.4305,386.8015,387.078
387.869,388.138,387.511,387.784
388.583,388.847,388.2225,388.4985
389.2835,389.548,388.9285,389.193
389.9795,390.233,389.6265,389.885
390.6625,390.922,390.3195,390.581
391.3465,391.607,391,391.265
392.027,392.293,391.6855,391.9505
392.717,392.984,392.3685,392.636
NaN,NaN,393.061,NaN
