onL,offL,onR,offR
505.516,505.7685,505.1855,505.4375
506.1775,506.4335,505.8525,506.0995
506.839,507.0965,506.516,506.771
507.5125,507.764,507.1775,507.432
508.174,508.424,507.842,508.1345
508.835,509.091,508.518,508.761
509.508,509.7605,509.176,509.426
510.1725,510.4275,509.839,510.0915
510.835,511.0895,510.5085,510.759
511.4955,511.7505,511.1655,511.4185
512.1625,512.418,511.8345,512.087
512.8305,513.082,512.4985,512.7505
513.4915,513.743,513.1585,513.412
514.153,514.4075,513.822,514.075
514.817,NaN,514.493,514.743
