onL,offL,onR,offR
325.5655,325.8315,325.225,325.492
326.2485,326.518,325.913,326.177
326.9335,327.2035,326.594,326.8615
327.62,327.8895,327.2755,327.55
328.313,328.5885,327.9745,328.2435
329.011,329.279,328.665,328.9355
329.695,329.965,329.355,329.621
330.378,330.648,330.043,330.3085
331.0655,331.3335,330.7235,330.994
331.7545,332.024,331.4125,331.6815
332.4465,332.7145,332.098,332.371
333.1335,333.4,332.794,333.0615
333.8145,334.0825,333.477,333.7445
334.495,334.7645,334.158,334.4265
NaN,NaN,334.8475,NaN
