onL,offL,onR,offR
450.413,450.668,450.078,450.3325
451.074,451.3255,450.748,450.9995
451.7345,451.987,451.409,451.67
452.3985,452.6545,452.0745,452.326
453.071,453.322,452.7365,452.9925
453.7275,453.975,453.3965,453.6485
454.3855,454.637,454.0585,454.3105
455.045,455.3035,454.7165,454.9685
455.713,455.9665,455.379,455.6325
456.3665,456.62,456.0395,456.2905
457.0315,457.286,456.7025,456.9555
457.696,457.9505,457.371,457.6225
458.3655,458.6215,458.035,458.2905
459.0305,459.2865,458.698,458.954
459.693,459.9465,459.366,459.622
