onL,offL,onR,offR
385.7545,386.007,385.422,385.6775
386.417,386.667,386.09,386.3385
387.074,387.325,386.748,387.002
387.732,387.9835,387.401,387.654
388.392,388.6405,388.061,388.316
389.052,389.301,388.7195,388.9735
389.706,389.9555,389.38,389.6315
390.3645,390.6125,390.038,390.289
391.0215,391.2735,390.6935,390.9425
391.6775,391.93,391.3505,391.603
392.341,392.5885,392.0155,392.267
392.995,393.249,392.6755,392.924
393.6575,393.9115,393.331,393.583
394.3145,394.5645,393.9915,394.239
394.9825,NaN,394.652,394.909
