onL,offL,onR,offR
528.611,528.8665,528.2765,528.523
529.274,529.5315,528.943,529.1895
529.9365,530.193,529.6075,529.855
530.591,530.8505,530.264,530.51
531.2545,531.512,530.923,531.1695
531.9175,532.1695,531.5845,531.833
532.5755,532.83,532.2495,532.492
533.2255,533.4785,532.899,533.147
533.8885,534.1435,533.5605,533.8055
534.546,534.808,534.219,534.463
535.204,535.4595,534.8745,535.122
535.8595,536.1165,535.536,535.7795
536.5185,536.773,536.188,536.434
537.18,537.447,536.8535,537.1015
537.848,538.097,537.523,537.767
