onL,offL,onR,offR
278.944,279.2095,278.6095,278.8645
279.612,279.886,279.2755,279.535
280.289,280.561,279.9525,280.2145
280.9595,281.2305,280.623,280.883
281.636,281.907,281.2975,281.561
282.304,282.5745,281.97,282.228
282.9685,283.238,282.6365,282.891
283.6305,283.8985,283.2995,283.5545
284.298,284.572,283.9625,284.219
284.966,285.2365,284.633,284.892
285.6345,285.903,285.303,285.5615
286.3065,286.5765,285.972,286.233
286.971,287.2375,286.641,286.8955
287.6385,287.91,287.301,287.5625
288.3075,NaN,287.9735,288.2345
