onL,offL,onR,offR
388.491,388.738,388.1665,388.405
389.138,389.3855,388.8135,389.0505
389.788,390.041,389.459,389.7075
390.4455,390.694,390.1125,390.353
391.096,391.346,390.764,391.0125
391.748,391.994,391.4205,391.665
392.3955,392.6485,392.0645,392.3065
393.0465,393.296,392.7205,392.9615
393.706,393.9585,393.377,393.619
394.3595,394.6085,394.0325,394.273
395.0065,395.2605,394.6805,394.9215
395.655,395.895,395.333,395.572
396.2975,396.543,395.9725,396.2115
396.9425,397.1955,396.617,396.8585
397.5975,397.8475,397.2715,397.514
NaN,NaN,397.924,NaN
