onL,offL,onR,offR
343.3825,343.6525,343.0435,343.3115
344.0505,344.318,343.715,343.976
344.7245,344.995,344.3875,344.65
345.398,345.6695,345.065,345.3265
346.073,346.344,345.734,345.9945
346.748,347.016,346.414,346.675
347.421,347.694,347.0825,347.346
348.0985,348.3725,347.758,348.022
348.7795,349.0555,348.4385,348.702
349.4605,349.728,349.1225,349.386
350.1335,350.403,349.796,350.0605
350.8055,351.069,350.471,350.7305
351.4755,351.7465,351.141,351.4025
352.152,352.4225,351.8115,352.0755
352.8255,NaN,352.488,352.749
