onL,offL,onR,offR
463.6235,463.8735,463.298,463.5435
464.2775,464.5305,463.9545,464.1955
464.928,465.185,464.6055,464.847
465.587,465.834,465.2615,465.505
466.239,466.495,465.913,466.154
466.8985,467.1545,466.571,466.8145
467.558,467.8175,467.227,467.478
468.2195,468.4755,467.8905,468.1355
468.8745,469.127,468.5495,468.796
469.5315,469.7885,469.205,469.448
470.1875,470.4405,469.8635,470.112
470.8395,471.0925,470.5165,470.7585
471.4895,471.7465,471.1635,471.406
472.15,472.4015,471.819,472.0625
472.803,473.0555,472.4745,472.7195
NaN,NaN,473.122,NaN
